model_name,epoch,train_loss,val_loss,train_mae,val_mae,trial,learning_rate,max_depth,max_leaf_nodes,min_samples_leaf,l2_regularization,iterations,val_rmse
mlp,1.0,9273581.0,5889516.0,2516.993896484375,2134.9326171875,,,,,,,,
mlp,2.0,9271552.0,5888098.0,2516.611083984375,2134.591796875,,,,,,,,
mlp,3.0,9269465.0,5886638.0,2516.2197265625,2134.24169921875,,,,,,,,
mlp,4.0,9267288.0,5885113.5,2515.81103515625,2133.876220703125,,,,,,,,
mlp,5.0,9265002.0,5883491.0,2515.380615234375,2133.4873046875,,,,,,,,
mlp,6.0,9262574.0,5881740.5,2514.92333984375,2133.069091796875,,,,,,,,
mlp,7.0,9259982.0,5879846.0,2514.434326171875,2132.617431640625,,,,,,,,
mlp,8.0,9257202.0,5877797.0,2513.910888671875,2132.130126953125,,,,,,,,
mlp,9.0,9254217.0,5875582.5,2513.3486328125,2131.603759765625,,,,,,,,
mlp,10.0,9251011.0,5873186.0,2512.744140625,2131.035400390625,,,,,,,,
mlp,11.0,9247571.0,5870599.5,2512.094482421875,2130.4228515625,,,,,,,,
mlp,12.0,9243885.0,5867811.5,2511.397705078125,2129.764404296875,,,,,,,,
mlp,13.0,9239950.0,5864819.0,2510.6533203125,2129.05712890625,,,,,,,,
mlp,14.0,9235759.0,5861614.5,2509.860107421875,2128.30029296875,,,,,,,,
mlp,15.0,9231307.0,5858190.0,2509.015869140625,2127.491455078125,,,,,,,,
mlp,16.0,9226591.0,5854538.5,2508.120361328125,2126.62939453125,,,,,,,,
mlp,17.0,9221589.0,5850652.5,2507.170654296875,2125.712646484375,,,,,,,,
mlp,18.0,9216294.0,5846524.0,2506.16455078125,2124.739013671875,,,,,,,,
mlp,19.0,9210702.0,5842142.5,2505.10107421875,2123.7060546875,,,,,,,,
mlp,20.0,9204809.0,5837502.0,2503.978759765625,2122.61181640625,,,,,,,,
mlp,21.0,9198607.0,5832598.0,2502.79638671875,2121.4560546875,,,,,,,,
mlp,22.0,9192086.0,5827422.5,2501.552001953125,2120.23583984375,,,,,,,,
mlp,23.0,9185240.0,5821965.5,2500.243896484375,2118.949462890625,,,,,,,,
mlp,24.0,9178063.0,5816222.5,2498.87109375,2117.595947265625,,,,,,,,
mlp,25.0,9170546.0,5810185.5,2497.431640625,2116.173095703125,,,,,,,,
mlp,26.0,9162683.0,5803846.0,2495.924072265625,2114.6787109375,,,,,,,,
mlp,27.0,9154462.0,5797198.0,2494.345947265625,2113.111572265625,,,,,,,,
mlp,28.0,9145876.0,5790233.0,2492.69580078125,2111.469482421875,,,,,,,,
mlp,29.0,9136917.0,5782941.5,2490.97216796875,2109.749267578125,,,,,,,,
mlp,30.0,9127575.0,5775317.0,2489.1728515625,2107.9501953125,,,,,,,,
mlp,31.0,9117844.0,5767351.5,2487.296142578125,2106.069580078125,,,,,,,,
mlp,32.0,9107715.0,5759042.0,2485.3408203125,2104.10693359375,,,,,,,,
mlp,33.0,9097182.0,5750380.5,2483.3046875,2102.059814453125,,,,,,,,
mlp,34.0,9086238.0,5741361.5,2481.1865234375,2099.926513671875,,,,,,,,
mlp,35.0,9074870.0,5731975.0,2478.983642578125,2097.70458984375,,,,,,,,
mlp,36.0,9063073.0,5722214.0,2476.694091796875,2095.392333984375,,,,,,,,
mlp,37.0,9050832.0,5712066.0,2474.315673828125,2092.986572265625,,,,,,,,
mlp,38.0,9038142.0,5701523.0,2471.845947265625,2090.48486328125,,,,,,,,
mlp,39.0,9024996.0,5690579.0,2469.2841796875,2087.885986328125,,,,,,,,
mlp,40.0,9011383.0,5679226.0,2466.627685546875,2085.187255859375,,,,,,,,
mlp,41.0,8997296.0,5667460.5,2463.8740234375,2082.38720703125,,,,,,,,
mlp,42.0,8982726.0,5655270.0,2461.021240234375,2079.482421875,,,,,,,,
mlp,43.0,8967666.0,5642644.5,2458.067626953125,2076.47021484375,,,,,,,,
mlp,44.0,8952106.0,5629580.5,2455.010986328125,2073.349609375,,,,,,,,
mlp,45.0,8936039.0,5616067.0,2451.8486328125,2070.1171875,,,,,,,,
mlp,46.0,8919459.0,5602099.5,2448.579345703125,2066.771728515625,,,,,,,,
mlp,47.0,8902352.0,5587669.0,2445.19970703125,2063.310302734375,,,,,,,,
mlp,48.0,8884712.0,5572771.0,2441.70849609375,2059.73095703125,,,,,,,,
mlp,49.0,8866534.0,5557400.0,2438.103759765625,2056.031982421875,,,,,,,,
mlp,50.0,8847815.0,5541553.0,2434.3837890625,2052.21142578125,,,,,,,,
mlp,51.0,8828551.0,5525223.0,2430.547607421875,2048.267578125,,,,,,,,
mlp,52.0,8808736.0,5508408.5,2426.593505859375,2044.1990966796875,,,,,,,,
mlp,53.0,8788361.0,5491103.0,2422.518798828125,2040.00439453125,,,,,,,,
mlp,54.0,8767426.0,5473298.5,2418.32275390625,2035.6800537109375,,,,,,,,
mlp,55.0,8745924.0,5454996.0,2414.009033203125,2031.2254638671875,,,,,,,,
mlp,56.0,8723848.0,5436185.0,2409.572998046875,2026.6370849609375,,,,,,,,
mlp,57.0,8701189.0,5416861.5,2405.029052734375,2021.912841796875,,,,,,,,
mlp,58.0,8677949.0,5397019.5,2400.366943359375,2017.0506591796875,,,,,,,,
mlp,59.0,8654127.0,5376661.0,2395.575439453125,2012.04931640625,,,,,,,,
mlp,60.0,8629715.0,5355780.0,2390.652587890625,2006.9068603515625,,,,,,,,
mlp,61.0,8604707.0,5334372.5,2385.594970703125,2001.62060546875,,,,,,,,
mlp,62.0,8579097.0,5312434.5,2380.4013671875,1996.1884765625,,,,,,,,
mlp,63.0,8552884.0,5289964.0,2375.069091796875,1990.6082763671875,,,,,,,,
mlp,64.0,8526069.0,5266956.0,2369.61669921875,1984.8778076171875,,,,,,,,
mlp,65.0,8498643.0,5243409.5,2364.027099609375,1978.99560546875,,,,,,,,
mlp,66.0,8470605.0,5219320.5,2358.2939453125,1972.958984375,,,,,,,,
mlp,67.0,8441953.0,5194692.0,2352.415771484375,1966.7672119140625,,,,,,,,
mlp,68.0,8412690.0,5169522.5,2346.39208984375,1960.41748046875,,,,,,,,
mlp,69.0,8382812.0,5143805.0,2340.2197265625,1953.9083251953125,,,,,,,,
mlp,70.0,8352315.0,5117540.0,2333.89697265625,1947.2369384765625,,,,,,,,
mlp,71.0,8321198.0,5090729.0,2327.422119140625,1940.40185546875,,,,,,,,
mlp,72.0,8289457.5,5063371.0,2320.79931640625,1933.4010009765625,,,,,,,,
mlp,73.0,8257094.5,5035469.5,2314.031494140625,1926.2335205078125,,,,,,,,
mlp,74.0,8224109.0,5007020.0,2307.1064453125,1918.89599609375,,,,,,,,
mlp,75.0,8190502.0,4978012.5,2300.0244140625,1911.384765625,,,,,,,,
mlp,76.0,8156272.5,4948461.0,2292.8203125,1903.700439453125,,,,,,,,
mlp,77.0,8121431.5,4918367.5,2285.45556640625,1895.8411865234375,,,,,,,,
mlp,78.0,8085974.0,4887727.0,2277.92822265625,1887.8037109375,,,,,,,,
mlp,79.0,8049892.5,4856542.5,2270.23388671875,1879.5860595703125,,,,,,,,
mlp,80.0,8013199.5,4824813.0,2262.373046875,1871.2054443359375,,,,,,,,
mlp,81.0,7975897.5,4792550.5,2254.343505859375,1862.708984375,,,,,,,,
mlp,82.0,7937977.5,4759752.5,2246.141845703125,1854.02880859375,,,,,,,,
mlp,83.0,7899454.5,4726423.5,2237.793212890625,1845.1632080078125,,,,,,,,
mlp,84.0,7860325.0,4692565.5,2229.28125,1836.10986328125,,,,,,,,
mlp,85.0,7820590.5,4658180.0,2220.592041015625,1826.984619140625,,,,,,,,
mlp,86.0,7780258.0,4623277.5,2211.725341796875,1817.672607421875,,,,,,,,
mlp,87.0,7739336.5,4587862.5,2202.679931640625,1808.2646484375,,,,,,,,
mlp,88.0,7697835.0,4551941.0,2193.455322265625,1798.6895751953125,,,,,,,,
mlp,89.0,7655755.0,4515518.5,2184.140625,1788.92236328125,,,,,,,,
mlp,90.0,7613107.0,4478598.5,2174.74560546875,1778.9605712890625,,,,,,,,
mlp,91.0,7569894.0,4441195.5,2165.19140625,1768.844970703125,,,,,,,,
