user_id,date,daily_income,daily_expense,txn_count,income_txn_count,expense_txn_count,daily_net,has_income,has_expense,dow,is_weekend,day,month,is_summer_vacation,is_winter_vacation,expense_7d_sum,expense_7d_mean,net_7d_sum,txn_7d_sum,expense_30d_sum,expense_30d_mean,net_30d_sum,txn_30d_sum,future_expense_7d_sum,month_start,fold
user12,2023-03-01,10000.0,145.0,3,1,2,9855.0,1,1,2,0,1,3,0,0,1067.0,152.42857142857142,-1067.0,10.0,4493.0,149.76666666666668,5507.0,31.0,2107.0,2023-03-01,1
user12,2023-03-02,0.0,216.0,3,0,3,-216.0,0,1,3,0,2,3,0,0,1057.0,151.0,8943.0,11.0,4638.0,154.6,15362.0,34.0,1891.0,2023-03-01,1
user12,2023-03-03,0.0,441.0,5,0,5,-441.0,0,1,4,0,3,3,0,0,813.0,116.14285714285714,9187.0,11.0,4854.0,161.8,15146.0,37.0,1890.0,2023-03-01,1
user12,2023-03-04,0.0,556.0,5,0,5,-556.0,0,1,5,1,4,3,0,0,882.0,126.0,9118.0,12.0,5295.0,176.5,14705.0,42.0,1452.0,2023-03-01,1
user12,2023-03-05,0.0,290.0,3,0,3,-290.0,0,1,6,1,5,3,0,0,1438.0,205.42857142857142,8562.0,17.0,5851.0,195.03333333333333,14149.0,47.0,1959.0,2023-03-01,1
user12,2023-03-06,0.0,0.0,0,0,0,0.0,0,0,0,0,6,3,0,0,1728.0,246.85714285714286,8272.0,20.0,6141.0,204.7,13859.0,50.0,2019.0,2023-03-01,1
user12,2023-03-07,0.0,165.0,2,0,2,-165.0,0,1,1,0,7,3,0,0,1728.0,246.85714285714286,8272.0,20.0,6141.0,204.7,13859.0,50.0,2123.0,2023-03-01,1
user12,2023-03-08,0.0,439.0,5,0,5,-439.0,0,1,2,0,8,3,0,0,1813.0,259.0,8187.0,21.0,6306.0,210.2,13694.0,52.0,1893.0,2023-03-01,1
user12,2023-03-09,0.0,0.0,0,0,0,0.0,0,0,3,0,9,3,0,0,2107.0,301.0,-2107.0,23.0,6745.0,224.83333333333334,13255.0,57.0,2743.0,2023-03-01,1
user12,2023-03-10,0.0,440.0,4,0,4,-440.0,0,1,4,0,10,3,0,0,1891.0,270.14285714285717,-1891.0,20.0,6745.0,224.83333333333334,13255.0,57.0,2576.0,2023-03-01,1
user12,2023-03-11,0.0,118.0,1,0,1,-118.0,0,1,5,1,11,3,0,0,1890.0,270.0,-1890.0,19.0,7185.0,239.5,12815.0,61.0,2642.0,2023-03-01,1
user12,2023-03-12,0.0,797.0,3,0,3,-797.0,0,1,6,1,12,3,0,0,1452.0,207.42857142857142,-1452.0,15.0,7303.0,243.43333333333334,12697.0,62.0,1996.0,2023-03-01,1
user12,2023-03-13,0.0,60.0,1,0,1,-60.0,0,1,0,0,13,3,0,0,1959.0,279.85714285714283,-1959.0,15.0,8100.0,270.0,11900.0,65.0,2118.0,2023-03-01,1
user12,2023-03-14,0.0,269.0,3,0,3,-269.0,0,1,1,0,14,3,0,0,2019.0,288.42857142857144,-2019.0,16.0,8160.0,272.0,11840.0,66.0,2154.0,2023-03-01,1
user12,2023-03-15,0.0,209.0,3,0,3,-209.0,0,1,2,0,15,3,0,0,2123.0,303.2857142857143,-2123.0,17.0,8289.0,276.3,1711.0,66.0,2084.0,2023-03-01,1
user12,2023-03-16,0.0,850.0,3,0,3,-850.0,0,1,3,0,16,3,0,0,1893.0,270.42857142857144,-1893.0,15.0,8328.0,277.6,1672.0,67.0,1509.0,2023-03-01,1
user12,2023-03-17,0.0,273.0,5,0,5,-273.0,0,1,4,0,17,3,0,0,2743.0,391.85714285714283,-2743.0,18.0,9086.0,302.8666666666667,914.0,68.0,1236.0,2023-03-01,1
user12,2023-03-18,0.0,184.0,2,0,2,-184.0,0,1,5,1,18,3,0,0,2576.0,368.0,-2576.0,19.0,9161.0,305.3666666666667,839.0,71.0,1052.0,2023-03-01,1
user12,2023-03-19,0.0,151.0,2,0,2,-151.0,0,1,6,1,19,3,0,0,2642.0,377.42857142857144,-2642.0,20.0,9266.0,308.8666666666667,734.0,71.0,2653.0,2023-03-01,1
user12,2023-03-20,0.0,182.0,2,0,2,-182.0,0,1,0,0,20,3,0,0,1996.0,285.14285714285717,-1996.0,19.0,9133.0,304.43333333333334,867.0,70.0,2601.0,2023-03-01,1
user12,2023-03-21,0.0,305.0,4,0,4,-305.0,0,1,1,0,21,3,0,0,2118.0,302.57142857142856,-2118.0,20.0,9222.0,307.4,778.0,70.0,2441.0,2023-03-01,1
