model_name,epoch,train_loss,val_loss,train_mae,val_mae,trial,learning_rate,max_depth,max_leaf_nodes,min_samples_leaf,l2_regularization,iterations,val_rmse
mlp,1.0,6462561.5,4731527.5,2137.987548828125,1950.179443359375,,,,,,,,
mlp,2.0,6458790.0,4728500.0,2137.136474609375,1949.3912353515625,,,,,,,,
mlp,3.0,6454698.5,4725214.0,2136.212646484375,1948.536376953125,,,,,,,,
mlp,4.0,6450186.5,4721574.5,2135.192626953125,1947.58984375,,,,,,,,
mlp,5.0,6445163.5,4717489.5,2134.0546875,1946.5269775390625,,,,,,,,
mlp,6.0,6439556.0,4712895.0,2132.781494140625,1945.3287353515625,,,,,,,,
mlp,7.0,6433312.5,4707741.5,2131.36083984375,1943.9832763671875,,,,,,,,
mlp,8.0,6426375.0,4701970.0,2129.779052734375,1942.4749755859375,,,,,,,,
mlp,9.0,6418706.5,4695540.5,2128.0263671875,1940.7935791015625,,,,,,,,
mlp,10.0,6410267.5,4688419.0,2126.09228515625,1938.9295654296875,,,,,,,,
mlp,11.0,6401025.5,4680572.5,2123.96875,1936.8734130859375,,,,,,,,
mlp,12.0,6390943.0,4671973.0,2121.646728515625,1934.617431640625,,,,,,,,
mlp,13.0,6379995.0,4662580.5,2119.119140625,1932.1513671875,,,,,,,,
mlp,14.0,6368144.0,4652372.5,2116.37646484375,1929.4671630859375,,,,,,,,
mlp,15.0,6355359.5,4641316.5,2113.4091796875,1926.5555419921875,,,,,,,,
mlp,16.0,6341609.0,4629382.0,2110.209716796875,1923.4071044921875,,,,,,,,
mlp,17.0,6326856.0,4616542.5,2106.76806640625,1920.013427734375,,,,,,,,
mlp,18.0,6311069.0,4602769.5,2103.0751953125,1916.3653564453125,,,,,,,,
mlp,19.0,6294211.0,4588029.0,2099.120361328125,1912.4527587890625,,,,,,,,
mlp,20.0,6276249.5,4572295.5,2094.89501953125,1908.265869140625,,,,,,,,
mlp,21.0,6257163.5,4555541.0,2090.3896484375,1903.7967529296875,,,,,,,,
mlp,22.0,6236919.0,4537737.0,2085.594482421875,1899.034423828125,,,,,,,,
mlp,23.0,6215486.0,4518860.0,2080.50048828125,1893.970458984375,,,,,,,,
mlp,24.0,6192842.5,4498884.5,2075.098876953125,1888.59521484375,,,,,,,,
mlp,25.0,6168964.5,4477789.0,2069.38134765625,1882.900146484375,,,,,,,,
mlp,26.0,6143820.0,4455549.5,2063.34326171875,1876.875,,,,,,,,
mlp,27.0,6117398.5,4432147.0,2056.97119140625,1870.5111083984375,,,,,,,,
mlp,28.0,6089681.5,4407577.0,2050.25732421875,1863.8028564453125,,,,,,,,
mlp,29.0,6060647.5,4381805.0,2043.190673828125,1856.736328125,,,,,,,,
mlp,30.0,6030275.0,4354815.0,2035.761474609375,1849.302734375,,,,,,,,
mlp,31.0,5998546.0,4326598.0,2027.9610595703125,1841.4935302734375,,,,,,,,
mlp,32.0,5965449.0,4297150.0,2019.781982421875,1833.3026123046875,,,,,,,,
mlp,33.0,5930973.5,4266457.0,2011.2142333984375,1824.720458984375,,,,,,,,
mlp,34.0,5895110.5,4234505.5,2002.25634765625,1815.7364501953125,,,,,,,,
mlp,35.0,5857848.0,4201290.5,1992.8922119140625,1806.3426513671875,,,,,,,,
mlp,36.0,5819177.5,4166810.75,1983.120849609375,1796.530517578125,,,,,,,,
