scenario,varied_threshold,safe_max,caution_max,alert_max,accuracy,macro_f1,weighted_f1,changed_from_baseline_rate,pred_safe_rate,pred_caution_rate,pred_alert_rate,pred_critical_rate
baseline,primary,0.85,1.0,1.2,0.784741144414169,0.5368805412795775,0.7841448947513526,0.0,0.47956403269754766,0.035422343324250684,0.055858310626702996,0.42915531335149865
conservative,primary,0.75,0.9,1.05,0.773841961852861,0.4748514456321459,0.763815669340782,0.1008174386920981,0.45231607629427795,0.03814713896457766,0.031335149863760216,0.4782016348773842
aggressive,primary,0.95,1.1,1.35,0.7833787465940054,0.5017793847927083,0.7856021708932848,0.08174386920980926,0.5054495912806539,0.02316076294277929,0.08446866485013624,0.3869209809264305
safe_max_-0.15,safe_max,0.7,1.0,1.2,0.7329700272479565,0.5257666656607218,0.728403381517364,0.047683923705722074,0.4318801089918256,0.08310626702997276,0.055858310626702996,0.42915531335149865
safe_max_-0.10,safe_max,0.75,1.0,1.2,0.7520435967302452,0.5262487012504888,0.7480276955386139,0.027247956403269755,0.45231607629427795,0.06267029972752043,0.055858310626702996,0.42915531335149865
safe_max_-0.05,safe_max,0.8,1.0,1.2,0.7724795640326976,0.5378888188698315,0.7685508539512954,0.01226158038147139,0.4673024523160763,0.047683923705722074,0.055858310626702996,0.42915531335149865
safe_max_+0.05,safe_max,0.9,1.0,1.2,0.7970027247956403,0.5446479439758126,0.7998049641226171,0.010899182561307902,0.4904632152588556,0.02452316076294278,0.055858310626702996,0.42915531335149865
safe_max_+0.10,safe_max,0.95,1.0,1.2,0.8106267029972752,0.4890206477727448,0.8137930519287944,0.025885558583106268,0.5054495912806539,0.009536784741144414,0.055858310626702996,0.42915531335149865
caution_max_-0.10,caution_max,0.85,0.9,1.2,0.784741144414169,0.508622239314379,0.7833493203393166,0.02452316076294278,0.47956403269754766,0.010899182561307902,0.08038147138964577,0.42915531335149865
caution_max_-0.05,caution_max,0.85,0.95,1.2,0.784741144414169,0.5416185049987248,0.7845340260880217,0.009536784741144414,0.47956403269754766,0.025885558583106268,0.0653950953678474,0.42915531335149865
caution_max_+0.05,caution_max,0.85,1.05,1.2,0.784741144414169,0.5407471890542204,0.7836433179277836,0.006811989100817439,0.47956403269754766,0.04223433242506812,0.04904632152588556,0.42915531335149865
caution_max_+0.10,caution_max,0.85,1.1,1.2,0.7806539509536785,0.5200823208045809,0.7797886627128043,0.013623978201634877,0.47956403269754766,0.04904632152588556,0.04223433242506812,0.42915531335149865
caution_max_+0.15,caution_max,0.85,1.15,1.2,0.7779291553133515,0.46889390478515947,0.7777698217164866,0.039509536784741145,0.47956403269754766,0.07493188010899182,0.01634877384196185,0.42915531335149865
alert_max_-0.15,alert_max,0.85,1.0,1.05,0.8119891008174387,0.4746882443742795,0.8064620375532199,0.04904632152588556,0.47956403269754766,0.035422343324250684,0.006811989100817439,0.4782016348773842
alert_max_-0.10,alert_max,0.85,1.0,1.1,0.8051771117166212,0.47416159152698345,0.7996615286234607,0.04223433242506812,0.47956403269754766,0.035422343324250684,0.013623978201634877,0.4713896457765668
alert_max_-0.05,alert_max,0.85,1.0,1.15,0.7888283378746594,0.5080841098048856,0.787668371757222,0.01634877384196185,0.47956403269754766,0.035422343324250684,0.039509536784741145,0.44550408719346046
alert_max_+0.05,alert_max,0.85,1.0,1.25,0.771117166212534,0.5268121011956631,0.7685475638631943,0.009536784741144414,0.47956403269754766,0.035422343324250684,0.0653950953678474,0.4196185286103542
alert_max_+0.10,alert_max,0.85,1.0,1.3,0.7602179836512262,0.5276328552146864,0.7616511503204998,0.02997275204359673,0.47956403269754766,0.035422343324250684,0.08583106267029973,0.3991825613079019
alert_max_+0.15,alert_max,0.85,1.0,1.35,0.7629427792915532,0.5497034055279623,0.7624876522039223,0.04223433242506812,0.47956403269754766,0.035422343324250684,0.09809264305177112,0.3869209809264305
