seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1058.949624,1603.801981,0.825711,0.721077
7,1015.140918,1582.238465,0.802667,0.73698
11,1038.297549,1557.404289,0.768392,0.719409
13,1061.871723,1625.029722,0.772021,0.708614
21,1040.502421,1660.218254,0.813158,0.732678
22,1051.208404,1646.941377,0.793814,0.728818
33,1119.736055,1815.906862,0.780423,0.706277
42,1068.690121,1573.704185,0.836759,0.730701
44,1101.461158,1673.339237,0.828105,0.726724
55,1087.114278,1610.931488,0.787342,0.72043
66,1116.781138,1794.016251,0.80916,0.729443
77,1089.348108,1554.943477,0.841051,0.737521
88,1062.371969,1612.259001,0.792258,0.716713
99,1015.33134,1559.526252,0.833333,0.723792
100,1050.267052,1684.533525,0.819149,0.737224
111,1054.3554,1520.408314,0.823239,0.715691
123,1097.179879,1662.535418,0.782609,0.719357
222,1089.466458,1659.811326,0.816537,0.72851
314,1221.064364,1973.738192,0.811976,0.708448
333,1097.297504,1696.891921,0.787879,0.722134
444,1047.819444,1605.572062,0.847172,0.748006
456,1079.479684,1706.024129,0.797872,0.720207
555,1135.161462,1724.204307,0.795812,0.712779
666,1305.252015,2003.69532,0.799001,0.695785
777,1074.044709,1624.234396,0.818758,0.73702
789,1172.947853,1793.21907,0.781003,0.702806
999,1159.160989,1761.95302,0.819549,0.723734
1234,1073.244774,1721.676193,0.826255,0.730799
2024,1055.573971,1635.206195,0.82939,0.730458
9999,1056.249244,1691.560106,0.8251,0.733395
