seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1174.027668,1676.524073,0.854503,0.720695
7,1114.543996,1628.11723,0.839477,0.713124
11,1053.358308,1548.616815,0.841727,0.72193
13,1068.664126,1549.393163,0.839477,0.720045
21,1158.080382,1627.601392,0.852259,0.724739
22,1069.61594,1601.781292,0.836145,0.720689
33,1164.737467,1645.502838,0.852977,0.722081
42,1102.306685,1577.504593,0.851114,0.726485
44,1069.479395,1582.07019,0.843114,0.723942
55,1075.760951,1605.913842,0.841099,0.71944
66,1110.388586,1514.421606,0.859155,0.736633
77,1070.62565,1581.65128,0.842857,0.720171
88,1063.599641,1546.00853,0.848635,0.728805
99,1090.187716,1554.541922,0.849348,0.729788
100,1077.13274,1565.807313,0.845701,0.719532
111,1052.827385,1499.912471,0.846715,0.724965
123,1116.047874,1673.280005,0.841099,0.716003
222,1040.698668,1493.079665,0.845588,0.728597
314,1012.873836,1499.294753,0.830235,0.722057
333,1070.234685,1531.110616,0.846336,0.724118
444,1062.814425,1590.031826,0.841346,0.716641
456,1154.977825,1528.194784,0.858124,0.73998
555,1100.640386,1521.01698,0.855464,0.739074
666,1081.782725,1587.841363,0.842353,0.720286
777,1114.959888,1576.324294,0.851809,0.727521
789,1092.926454,1607.894412,0.837099,0.713957
999,1112.239381,1604.483833,0.86135,0.735341
1234,1050.818934,1543.252736,0.807107,0.705238
2024,1057.838191,1543.771044,0.845783,0.730952
9999,1080.018422,1591.367078,0.842604,0.717958
