seed,MAE,RMSE,Binary_F1,Weighted_F1
0,928.30687,1202.513448,0.887199,0.763482
7,894.852704,1194.992056,0.882581,0.752645
11,871.527633,1180.206315,0.884319,0.75064
13,878.539452,1183.243638,0.881137,0.75128
21,994.738142,1281.939626,0.882427,0.743377
22,858.345831,1196.267914,0.876316,0.755822
33,977.662485,1236.650083,0.883019,0.740298
42,907.039568,1193.499209,0.886335,0.754902
44,865.609631,1160.951446,0.884864,0.755148
55,848.286606,1156.760447,0.878431,0.755761
66,968.365061,1238.142528,0.894804,0.760057
77,864.572859,1179.038055,0.884864,0.756858
88,906.008471,1210.735253,0.884864,0.752723
99,900.314013,1185.444565,0.886305,0.761034
100,868.881474,1150.044233,0.885751,0.753024
111,906.991113,1205.104625,0.888889,0.754681
123,867.529043,1180.275739,0.878431,0.75214
222,888.160847,1174.9983,0.886889,0.757054
314,857.443288,1189.861375,0.871391,0.747088
333,879.535125,1150.842843,0.882883,0.75245
444,862.871666,1187.805794,0.880829,0.748667
456,1002.16264,1253.635992,0.891656,0.764766
555,945.560305,1216.176871,0.891995,0.761909
666,869.991292,1179.269409,0.880616,0.753092
777,921.430889,1208.224001,0.887755,0.759
789,873.23145,1168.970707,0.878553,0.748402
999,937.198685,1212.876119,0.891995,0.755283
1234,908.230566,1278.583475,0.850202,0.730165
2024,886.383401,1172.583417,0.884319,0.756622
9999,864.4953,1176.494198,0.882581,0.752438
