seed,MAE,RMSE,Binary_F1,Weighted_F1
0,826.669194,1239.584976,0.867568,0.749354
7,863.451345,1334.311699,0.829971,0.750615
11,869.844178,1305.863822,0.808199,0.742132
13,826.290547,1270.218041,0.82,0.744274
21,821.038175,1241.175649,0.846262,0.749549
22,836.350776,1282.488671,0.838889,0.758925
33,832.425432,1253.493456,0.820809,0.739935
42,841.873718,1232.01316,0.880537,0.771533
44,867.304673,1300.5227,0.868742,0.74979
55,882.267486,1304.407428,0.823204,0.749778
66,831.031831,1271.778541,0.859097,0.771239
77,908.485613,1296.447261,0.879892,0.759414
88,878.901691,1354.43397,0.837535,0.749242
99,785.361967,1193.185862,0.878378,0.764029
100,846.584588,1268.877264,0.847125,0.752329
111,858.918323,1236.559716,0.860622,0.739259
123,911.340807,1356.344175,0.817236,0.733894
222,864.688928,1286.609469,0.857143,0.753188
314,843.412947,1303.524127,0.868176,0.758135
333,874.137541,1318.904116,0.821023,0.748599
444,846.190586,1254.263415,0.888021,0.782256
456,854.436416,1283.737125,0.83682,0.744361
555,892.994983,1290.627671,0.826705,0.740832
666,962.183958,1361.674057,0.835821,0.731868
777,846.470884,1257.500711,0.851648,0.758549
789,918.025221,1347.968347,0.829545,0.738048
999,868.590741,1275.22657,0.872973,0.764212
1234,827.003244,1258.298793,0.862309,0.761939
2024,824.154,1222.089771,0.863698,0.755244
9999,831.43113,1272.483444,0.86115,0.754492
