seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1084.349786,1738.209554,0.807742,0.720485
7,1011.937474,1557.837317,0.853234,0.758707
11,993.049568,1546.579654,0.831073,0.735173
13,972.890519,1472.686776,0.836735,0.74327
21,998.719831,1543.391966,0.846442,0.745566
22,1074.233536,1701.103897,0.808054,0.725602
33,1011.703357,1547.77454,0.845588,0.745222
42,1037.324285,1614.999061,0.808511,0.724353
44,1138.951949,1768.839576,0.833747,0.74953
55,948.311823,1459.44064,0.845178,0.749521
66,1063.323725,1693.557061,0.852868,0.76846
77,1100.12307,1658.320495,0.821026,0.726085
88,1013.106029,1493.229185,0.857143,0.756075
99,1050.322067,1570.344982,0.840719,0.748218
100,1341.043478,2113.797698,0.829612,0.704355
111,1156.099297,1885.327013,0.806162,0.728035
123,992.121116,1558.518636,0.845387,0.743978
222,1184.109892,2204.400551,0.823386,0.720935
314,1119.311039,1764.609537,0.850962,0.747517
333,1053.634365,1587.096542,0.841843,0.744244
444,983.935235,1505.16048,0.84371,0.751549
456,1212.910892,1787.947339,0.832313,0.736577
555,1042.040807,1659.560477,0.831004,0.74004
666,1067.436646,1672.310547,0.849421,0.757675
777,1180.953288,1767.671269,0.826303,0.728682
789,1000.448331,1660.897634,0.842893,0.743689
999,953.541128,1601.702275,0.841558,0.752192
1234,1102.75499,1693.698391,0.82933,0.735293
2024,1040.100067,1650.970622,0.855422,0.759665
9999,1104.778408,1724.558468,0.841843,0.750386
