seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1053.037302,1469.938649,0.850242,0.723807
7,1057.733918,1510.291701,0.861728,0.737464
11,1085.398356,1477.385226,0.84994,0.724454
13,1073.444303,1517.777271,0.860321,0.727389
21,1009.657457,1458.213104,0.845311,0.727607
22,1039.890826,1512.891578,0.845878,0.733082
33,1050.786837,1474.781886,0.85258,0.727542
42,1026.269909,1453.008233,0.858896,0.745841
44,1011.798906,1493.29934,0.846248,0.726474
55,1116.102317,1583.038228,0.85679,0.725208
66,1004.849815,1470.073029,0.847172,0.736611
77,1120.030288,1569.520635,0.85213,0.723125
88,1047.933882,1451.260156,0.851169,0.721495
99,1073.42048,1462.080165,0.854041,0.732596
100,1041.624057,1483.059596,0.842752,0.718886
111,1013.415695,1500.405771,0.848117,0.737273
123,1010.209179,1487.797559,0.851806,0.727497
222,1040.540011,1465.860952,0.844233,0.724348
314,1055.917478,1493.132468,0.846939,0.727006
333,1039.896477,1450.294669,0.845869,0.724205
444,1025.799905,1479.812419,0.8523,0.734826
456,1028.922695,1481.984868,0.844933,0.723755
555,1065.990694,1458.40118,0.851942,0.734236
666,1003.968278,1506.230329,0.846154,0.731527
777,1017.084781,1470.714953,0.840686,0.725073
789,1052.390149,1467.523656,0.856471,0.736985
999,1091.949622,1482.185926,0.839013,0.718926
1234,1019.043465,1483.640846,0.837327,0.724286
2024,1046.564926,1508.942218,0.845238,0.723903
9999,1003.793373,1485.09575,0.837209,0.712938
