seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1041.368185,1513.376546,0.825316,0.72721
7,1077.086646,1587.343224,0.827238,0.733706
11,1129.71909,1632.553874,0.831541,0.727367
13,1050.974315,1542.194484,0.832266,0.717993
21,1043.145714,1471.115885,0.840796,0.731691
22,1036.609187,1495.508166,0.844221,0.744199
33,1021.452246,1471.723537,0.857506,0.751268
42,1046.016595,1522.707042,0.859927,0.752718
44,1049.480387,1642.064647,0.85283,0.748302
55,1062.568462,1541.479598,0.8325,0.738718
66,1048.752721,1532.908377,0.814446,0.721906
77,1036.031244,1500.393646,0.84466,0.737022
88,1048.922918,1623.360323,0.827858,0.74057
99,1003.284531,1479.667078,0.826362,0.731722
100,1030.321076,1482.238496,0.834437,0.749349
111,1024.452126,1608.518526,0.839572,0.754429
123,1128.829089,1571.180798,0.816794,0.734494
222,1108.055206,1601.308769,0.821053,0.743398
314,1024.382629,1528.256415,0.823848,0.737449
333,1030.375147,1510.5285,0.845178,0.741445
444,1042.210246,1490.735939,0.824769,0.730543
456,1041.547933,1528.547696,0.861386,0.763497
555,1192.868228,1686.769444,0.847087,0.731987
666,1136.940563,1613.208163,0.811321,0.726051
777,1052.755792,1495.250673,0.787798,0.711212
789,1081.368438,1536.133596,0.818627,0.73065
999,1157.275073,1659.935639,0.835714,0.736436
1234,1020.06504,1490.805353,0.866834,0.756496
2024,1134.608816,1649.453844,0.833333,0.729442
9999,1059.551834,1547.972204,0.844172,0.741632
