seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1090.700145,1519.719635,0.846442,0.752491
7,1033.97972,1457.894179,0.841709,0.749228
11,1079.936643,1503.187447,0.846535,0.73927
13,1109.405264,1486.696721,0.845588,0.749294
21,1035.248721,1461.999192,0.835859,0.74828
22,1036.584795,1503.325929,0.842371,0.754363
33,1050.379284,1535.430771,0.840909,0.755855
42,1079.918903,1458.145738,0.845488,0.754698
44,1085.692659,1476.015749,0.840399,0.752392
55,1045.755551,1474.270367,0.859259,0.755524
66,1089.849067,1514.197644,0.82732,0.755277
77,1062.108221,1509.220034,0.853598,0.755832
88,1132.796435,1499.865996,0.858537,0.750543
99,1078.841626,1546.827541,0.850433,0.744521
100,1079.213072,1513.012909,0.848708,0.739482
111,1057.080015,1467.47951,0.842105,0.747762
123,1079.572735,1502.170173,0.84472,0.752528
222,1067.073943,1479.301122,0.845771,0.751394
314,1108.789097,1496.987294,0.850433,0.753168
333,1081.853287,1485.386316,0.85254,0.758641
444,1045.606471,1479.177452,0.830189,0.737146
456,1069.770658,1454.763486,0.834761,0.736829
555,1103.067591,1505.220646,0.851806,0.760995
666,1088.578663,1482.590841,0.844933,0.737004
777,1072.105572,1518.831522,0.845771,0.760392
789,1068.466944,1476.782935,0.836228,0.747569
999,1074.780536,1447.131559,0.857837,0.75603
1234,1039.136747,1484.406885,0.841843,0.748878
2024,1072.747625,1489.689,0.842105,0.744857
9999,1053.003881,1461.282804,0.852657,0.748905
