seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1301.55125,1954.113636,0.86618,0.766259
7,1301.695548,1957.064395,0.867322,0.770457
11,1301.655,1956.300324,0.867322,0.770457
13,1301.86521,1951.394866,0.86578,0.764851
21,1301.601175,1956.434183,0.867322,0.770457
22,1301.83242,1951.454474,0.86578,0.764851
33,1301.580177,1954.659854,0.867235,0.767709
42,1301.812848,1958.244566,0.866995,0.7709
44,1302.145742,1961.167279,0.865598,0.767545
55,1301.599753,1953.287572,0.866505,0.765809
66,1301.643784,1952.676375,0.867879,0.765777
77,1301.639736,1952.965107,0.866505,0.765289
88,1302.568534,1948.621391,0.863691,0.760957
99,1301.725192,1952.075122,0.86578,0.764845
100,1301.606579,1953.477551,0.866505,0.765809
111,1301.577021,1953.808585,0.865128,0.765332
123,1301.741702,1951.922156,0.86578,0.764851
222,1301.528549,1954.88337,0.865854,0.767222
314,1302.031679,1960.059612,0.865598,0.769431
333,1301.683496,1957.361471,0.867322,0.770457
444,1301.596699,1953.402061,0.866505,0.765809
456,1302.147692,1950.253038,0.86578,0.764333
555,1301.649849,1956.598305,0.867322,0.770457
666,1301.740966,1951.917377,0.86578,0.764851
777,1301.72346,1957.306116,0.867322,0.770457
789,1301.666839,1956.709629,0.867322,0.770457
999,1301.634614,1956.130817,0.867322,0.770476
1234,1302.675748,1948.510839,0.863691,0.761874
2024,1301.593558,1953.397631,0.866505,0.765809
9999,1301.578926,1955.051026,0.865854,0.767222
