seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1152.182642,1745.012911,0.846939,0.760537
7,1129.209774,1687.812583,0.840652,0.749805
11,1123.709052,1713.707012,0.848866,0.765241
13,1151.755692,1736.806046,0.840796,0.758674
21,1097.373917,1719.202895,0.844612,0.75969
22,1130.357045,1733.364667,0.848561,0.765574
33,1151.222146,1715.099689,0.846734,0.765137
42,1108.043932,1737.682479,0.84788,0.763112
44,1112.868489,1743.992038,0.851995,0.762364
55,1162.856356,1803.243143,0.845671,0.762705
66,1107.203185,1705.403984,0.85533,0.777873
77,1151.385581,1744.310266,0.847799,0.768097
88,1132.518636,1718.729207,0.847328,0.762473
99,1162.810551,1799.103421,0.847799,0.766347
100,1213.469695,1839.883714,0.847205,0.767624
111,1254.220616,1927.188353,0.849315,0.76308
123,1105.895543,1686.553044,0.849105,0.771422
222,1109.939371,1723.783783,0.85283,0.772103
314,1153.908796,1772.495829,0.84901,0.763663
333,1106.11663,1695.344561,0.854942,0.765639
444,1167.029471,1806.114927,0.846154,0.765154
456,1157.474426,1759.898492,0.849624,0.766985
555,1145.244432,1732.637911,0.852459,0.77191
666,1131.963802,1716.885795,0.852753,0.769801
777,1131.396542,1705.731697,0.845361,0.762386
789,1199.522394,1851.183164,0.849754,0.765725
999,1123.220956,1691.505075,0.844784,0.761134
1234,1133.339692,1749.211126,0.84715,0.763311
2024,1165.67945,1777.310619,0.844334,0.76087
9999,1123.264174,1704.921203,0.843434,0.762743
