seed,MAE,RMSE,Binary_F1,Weighted_F1
0,792.358754,1173.731761,0.873813,0.766419
7,788.902872,1169.651078,0.873124,0.768428
11,793.562826,1170.875746,0.875513,0.771826
13,792.880534,1176.251798,0.873973,0.768196
21,795.926268,1179.986227,0.875171,0.774794
22,790.051085,1160.188299,0.87924,0.782063
33,796.634931,1174.899679,0.874659,0.772184
42,792.6007,1171.912676,0.871585,0.765587
44,801.579527,1187.602119,0.872777,0.766693
55,789.352427,1174.15778,0.872428,0.771311
66,789.213499,1169.915241,0.875853,0.774284
77,785.284919,1172.799962,0.871585,0.775326
88,780.788504,1164.67989,0.875853,0.773665
99,799.62573,1177.58143,0.874659,0.77077
100,797.842018,1173.730646,0.874317,0.773939
111,803.431665,1172.345659,0.875171,0.774299
123,788.140496,1169.87303,0.873124,0.768428
222,796.157725,1171.744538,0.877717,0.770251
314,798.035557,1167.428195,0.871585,0.772276
333,785.682836,1163.575871,0.871233,0.773976
444,800.51199,1178.738187,0.873469,0.767716
456,800.434979,1169.508052,0.873124,0.770576
555,796.755508,1173.597499,0.872077,0.769651
666,794.044312,1173.096427,0.877384,0.776978
777,797.238185,1176.344614,0.877049,0.77122
789,792.638771,1178.430263,0.874828,0.773911
999,788.61484,1159.896363,0.875339,0.778744
1234,788.965288,1173.061329,0.873626,0.776631
2024,789.578866,1166.311017,0.880109,0.774419
9999,789.840312,1173.415551,0.877384,0.776615
