seed,MAE,RMSE,Binary_F1,Weighted_F1
0,811.720933,1163.788245,0.882199,0.783653
7,808.545723,1164.679253,0.879265,0.777567
11,816.750687,1164.136323,0.880734,0.77329
13,801.371024,1151.030978,0.884211,0.786901
21,804.270628,1156.844139,0.88189,0.774352
22,809.311201,1158.263682,0.878947,0.780308
33,806.571656,1152.848656,0.88274,0.779784
42,798.490409,1152.762189,0.877792,0.784727
44,800.011947,1152.901528,0.88042,0.776494
55,806.295235,1158.113586,0.885073,0.78489
66,809.226908,1161.814138,0.881579,0.780603
77,806.585249,1156.475147,0.885375,0.781622
88,802.141971,1157.156779,0.88274,0.788956
99,818.370827,1165.637201,0.88189,0.77936
100,794.202331,1149.879389,0.874835,0.775074
111,804.269528,1150.403049,0.878947,0.780917
123,804.817236,1158.178101,0.882431,0.777522
222,826.168058,1175.849568,0.885976,0.780791
314,803.896733,1157.809445,0.885117,0.781884
333,807.654537,1158.395788,0.875817,0.769666
444,799.597995,1145.906195,0.881266,0.782265
456,809.802818,1161.965467,0.883355,0.780667
555,803.284169,1157.294664,0.884211,0.787474
666,807.19299,1156.129676,0.87664,0.779519
777,808.019475,1152.290926,0.880105,0.784373
789,785.441359,1143.275445,0.88366,0.785201
999,817.401017,1162.150884,0.881579,0.785483
1234,810.193333,1155.834669,0.879265,0.775883
2024,796.737732,1160.834493,0.887728,0.787659
9999,804.625828,1155.762426,0.88274,0.781281
