seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1114.373841,1658.845307,0.861985,0.739252
7,1139.162197,1632.900489,0.849879,0.73289
11,1110.026845,1635.498159,0.855407,0.739778
13,1110.942541,1643.043251,0.853333,0.734892
21,1094.4712,1635.305986,0.858191,0.73792
22,1206.127531,1833.929094,0.841727,0.744398
33,1092.560154,1637.784335,0.858881,0.743544
42,1198.86397,1822.149897,0.844391,0.748125
44,1074.286069,1645.94826,0.863804,0.760756
55,1116.76961,1610.050642,0.856796,0.746944
66,1094.186376,1621.839233,0.860294,0.754372
77,1094.324098,1596.186242,0.859585,0.746688
88,1089.686126,1612.002142,0.852905,0.743365
99,1094.82159,1612.850514,0.859223,0.748642
100,1071.098966,1634.822984,0.857494,0.743708
111,1178.223064,1807.390099,0.841849,0.752821
123,1110.433001,1626.897442,0.855407,0.741091
222,1089.516135,1610.407113,0.855407,0.735667
314,1094.188341,1662.501239,0.854015,0.74164
333,1070.145573,1582.180717,0.858549,0.765017
444,1120.232193,1625.727078,0.854369,0.728887
456,1150.498994,1647.459237,0.852341,0.735741
555,1177.002047,1653.70459,0.854067,0.734448
666,1166.367694,1733.065403,0.839416,0.735495
777,1058.807852,1612.444169,0.859606,0.747505
789,1084.048818,1639.397047,0.853629,0.732168
999,1118.913149,1615.673393,0.855758,0.750706
1234,1101.45425,1640.919812,0.857494,0.748932
2024,1113.173264,1621.794661,0.857837,0.745401
9999,1075.541918,1595.155214,0.857843,0.747475
