seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1030.787776,1493.765897,0.856777,0.753243
7,1046.000996,1475.623298,0.858958,0.761853
11,1046.889571,1487.314858,0.835381,0.737444
13,1110.006767,1543.678172,0.832732,0.737284
21,1039.559764,1487.083313,0.832941,0.732443
22,1024.058199,1474.245213,0.859335,0.754601
33,1071.137274,1479.872531,0.842875,0.748993
42,982.271667,1457.275902,0.86398,0.764397
44,1056.444663,1476.801816,0.863636,0.766477
55,1054.664111,1489.439271,0.853846,0.750596
66,965.611743,1464.030717,0.859671,0.759942
77,1050.391032,1480.152032,0.849579,0.753725
88,973.73971,1445.093812,0.863579,0.766259
99,1036.767591,1484.15658,0.860406,0.761034
100,980.461649,1448.078355,0.860728,0.759564
111,1036.448328,1493.750015,0.853846,0.749888
123,1021.755206,1490.477725,0.858958,0.755644
222,1019.914303,1484.471169,0.856777,0.756766
314,1083.687665,1492.931451,0.841099,0.741999
333,1009.073995,1473.781335,0.860406,0.756632
444,1088.391506,1492.977157,0.838868,0.743349
456,1058.496594,1482.104751,0.853846,0.752404
555,1074.126327,1511.131521,0.83455,0.737234
666,1026.42306,1482.848374,0.858958,0.751109
777,1021.0318,1448.896372,0.861423,0.764149
789,993.923819,1487.094626,0.863636,0.761066
999,1005.449792,1440.989713,0.855377,0.754797
1234,1068.006338,1479.747742,0.847539,0.747375
2024,1027.149468,1485.481378,0.860051,0.757049
9999,981.95748,1472.143292,0.861461,0.754737
