seed,MAE,RMSE,Binary_F1,Weighted_F1
0,1107.68134,1677.704302,0.856079,0.759389
7,1104.194223,1622.761294,0.856089,0.750247
11,1155.571883,1737.698092,0.8575,0.753081
13,1159.569467,1693.23687,0.852174,0.74891
21,1128.156148,1665.963916,0.863861,0.763739
22,1256.623198,1716.937228,0.853365,0.737901
33,1101.780481,1628.77217,0.856429,0.751349
42,1176.335135,1705.609742,0.857497,0.756277
44,1106.468672,1650.650705,0.864596,0.759012
55,1108.607487,1661.993024,0.859627,0.757813
66,1191.399754,1818.435358,0.848866,0.747653
77,1117.515314,1670.612829,0.864385,0.760106
88,1093.153704,1637.924648,0.853535,0.750598
99,1175.761828,1761.015795,0.858549,0.753057
100,1123.122887,1662.136105,0.857143,0.743762
111,1098.63803,1704.42346,0.858573,0.75022
123,1140.585781,1703.083517,0.853988,0.752622
222,1251.622491,1928.46325,0.859259,0.766519
314,1168.660139,1765.652214,0.855721,0.756363
333,1188.59935,1689.804738,0.850801,0.743478
444,1092.409761,1641.371502,0.857862,0.752157
456,1134.688449,1719.361242,0.859259,0.758872
555,1096.892149,1642.323613,0.856787,0.757081
666,1076.338885,1643.430111,0.863237,0.759231
777,1116.011699,1747.333817,0.865266,0.757981
789,1124.547122,1672.975723,0.858573,0.754762
999,1228.691778,1859.281329,0.858209,0.761951
1234,1222.729608,1782.696273,0.859927,0.753181
2024,1128.714966,1675.84238,0.865196,0.76247
9999,1104.458553,1661.410016,0.860294,0.752297
